source,target ,weight,directed,FloorPlan,Staircase,BlockConn,Remarks,new,X,Y,status
(A1) KG Lobby,(B1) Linkway,1,FALSE,A1,-,A1-B1,,,,,Old
(A1) KG Lobby,(C1) Ext Corridor ,1,FALSE,A1,-,A1-C1,,,,,Old
(A1) KG Lobby,(D1) Connecting Space,1,FALSE,A1,-,A1-D1,,,,,Old
(A1) KG Lobby,(A1) KG Indoor Play Area,1,FALSE,A1,-,-,,,,,Old
(A1) KG Lobby,(A1) Main Corridor,1,FALSE,A1,-,-,,,,,Old
(A1) Main Corridor,(A1) Learner Pool ,1,FALSE,A1,-,-,Main,,,,Old
(A1) Main Corridor,(A1) Reception Counter,1,FALSE,A1,-,-,,,,,Old
(A1) Main Corridor,(A1) Changing Room,1,FALSE,A1,-,-,,,,,Old
(A1) Main Corridor,"(A1) Corridor, Comp Pool",1,FALSE,A1,-,-,,,,,Old
"(A1) Corridor, Comp Pool",(A1) Comp Pool,1,FALSE,A1,-,-,,,,,Old
"(A1) Corridor, Comp Pool",(A1) Spectator Stand,1,FALSE,A1,-,-,,,,,Old
(A1) Main Corridor,(A1) Core,1,FALSE,A1,-,-,,Y,,,Old
(A1) Core,(A2) Core,1,FALSE,A1,A1-A2,-,,Y,,,Old
,,,,,,,,,,,Old
(A2) Main Lobby L2,(B2) Linkway,1,FALSE,A2,-,A2-B2,,,,,Old
(A2) Drop-Off/Entrance,(A2) Main Lobby L2,1,FALSE,A2,-,-,,,,,Old
(A2) Main Lobby L2,(A2) Parents Cafe,1,FALSE,A2,-,-,,,,,Old
(A2) Parents Cafe,(A2) Main Office 1,1,FALSE,A2,-,-,,,,,Old
(A2) Parents Cafe,(A2) Main Office 2,1,FALSE,A2,-,-,,,,,Old
(A2) Main Office 1,(A2) Main Office 2,1,FALSE,A2,-,-,,,,,Old
(A2) Main Lobby L2,(A3) Main Lobby L3,1,FALSE,A2,A2-A3,-,,,,,Old
(A2) Main Lobby L2,(A2) Core,1,FALSE,A2,-,-,,Y,,,Old
(A2) Core,(A3) Core,1,FALSE,A2,A2-A3,-,,Y,,,Old
,,,,,,,,,,,Old
(A3) Main Lobby L3,(B3) Corridor 2,1,FALSE,A3,-,A3-B3,,,,,Old
(A3) Main Lobby L3,(A3) Corridor,1,FALSE,A3,-,-,,,,,Old
(A3) Corridor,(A3) Main Corridor,1,FALSE,A3,-,-,,,,,Old
(A3) Main Corridor,(A3) STEM Lab 1,1,FALSE,A3,-,-,,,,,Old
(A3) Main Corridor,(A3) STEM Lab 2,1,FALSE,A3,-,-,,,,,Old
(A3) Main Corridor,(A3) Creative Suite,1,FALSE,A3,-,-,,,,,Old
(A3) Main Corridor,(A3) Sports Hall (Main Entrance),1,FALSE,A3,-,-,,,,,Old
(A3) Main Corridor,(A3) Junior Library,1,FALSE,A3,-,-,,,,,Old
(A3) Junior Library,(A3) Library Terrace,1,FALSE,A3,-,-,,,,,Old
(A3) Main Lobby L3,(A4) Main Lobby L4,1,FALSE,A3,A3-A4,-,,,,,Old
(A3) Main Lobby L3,(C3) Staff Corridor,1,FALSE,A3,-,A3-C3,,,,,Old
(A3) Corridor,(A3) Core,1,FALSE,A3,-,-,,Y,,,Old
(A3) Core,(A4) Core,1,FALSE,A3,A3-A4,-,,Y,,,Old
,,,,,,,,,,,Old
,,,,,,,,,,,Old
(A4) Main Lobby L4,(A4) Corridor,1,FALSE,A4,-,-,,,,,Old
(A4) Corridor,(A4) Auditorium,1,FALSE,A4,-,-,,,,,Old
(A4) Corridor,(A4) Core,1,FALSE,A4,-,-,,Y,,,Old
,,,,,,,,,,,Old
,,,,,,,,,,,Old
(B1) Linkway,(B1) Corridor 1,1,FALSE,B1,-,-,,,,,Old
(B1) Corridor 1,(B1) Pre-KG Classroom 3,1,FALSE,B1,-,-,,,,,Old
(B1) Corridor 1,(B1) Pre-KG Classroom 4,1,FALSE,B1,-,-,,,,,Old
(B1) Corridor 1,(B1) Pre-KG Classroom 5,1,FALSE,B1,-,-,,,,,Old
(B1) Corridor 1,(B1) Pre-KG Classroom 6,1,FALSE,B1,-,-,,,,,Old
(B1) Corridor 1,(B1) Reading Area,1,FALSE,B1,-,-,,,,,Old
(B1) Reading Area,(B1) KG Library,1,FALSE,B1,-,-,,,,,Old
(B1) Reading Area,(B1) Pre-KG Classroom 2,1,FALSE,B1,-,-,,,,,Old
(B1) Reading Area,(B1) Corridor 2,1,FALSE,B1,-,-,,,,,Old
(B1) Reading Area,(B1) Pre-KG Classroom 1,1,FALSE,B1,-,-,,,,,Old
(B1) Corridor 2,(B1) Pre-KG Classroom 7,1,FALSE,B1,-,-,,,,,Old
(B1) Corridor 2,(B1) Pre-KG Classroom 8,1,FALSE,B1,-,-,,,,,Old
(B1) Corridor 2,(B1) Pre-KG Classroom 9,1,FALSE,B1,-,-,,,,,Old
(B1) Corridor 1,(B1) Core 1,1,FALSE,B1,-,-,,Y,,,Old
(B1) Core 1,(B2) Core 1,1,FALSE,B1,B1-B2,-,,Y,,,Old
(B1) Corridor 2,(B1) Core 2,1,FALSE,B1,-,-,,Y,,,Old
(B1) Core 2,(B2) Core 2,1,FALSE,B1,B1-B2,-,,Y,,,Old
(B1) Reading Area,(B2) Reading Area,1,FALSE,B1,B1-B2,-,,P,,,Old
,,,,,,,,,,,Old
(B2) Linkway,(B2) Corridor 1,1,FALSE,B2,-,-,,,,,Old
(B2) Corridor 1,(B2) K1 Classroom 1,1,FALSE,B2,-,-,,,,,Old
(B2) Corridor 1,(B2) K1 Classroom 2,1,FALSE,B2,-,-,,,,,Old
(B2) Corridor 1,(B2) K1 Classroom 3,1,FALSE,B2,-,-,,,,,Old
(B2) Corridor 1,(B2) K1 Classroom 4,1,FALSE,B2,-,-,,,,,Old
(B2) Corridor 1,(B2) Reading Area,1,FALSE,B2,-,-,,,,,Old
(B2) Reading Area,(B2) Staff Room,1,FALSE,B2,-,-,,,,,Old
(B2) Reading Area,(B2) K1 Classroom 8,1,FALSE,B2,-,-,,,,,Old
(B2) Reading Area,(B2) Corridor 2,1,FALSE,B2,-,-,,,,,Old
(B2) Reading Area,(B2) K1 Classroom 9,1,FALSE,B2,-,-,,,,,Old
(B2) Corridor 2,(B2) K1 Classroom 7,1,FALSE,B2,-,-,,,,,Old
(B2) Corridor 2,(B2) K1 Classroom 5,1,FALSE,B2,-,-,,,,,Old
(B2) Corridor 2,(B2) K1 Classroom 6,1,FALSE,B2,-,-,,,,,Old
(B2) Corridor 1,(B2) Core 1,1,FALSE,B2,-,-,,Y,,,Old
